"filename", "language", "JSON", "YAML", "TypeScript JSX", "TypeScript", "comment", "blank", "total"
"d:\react-projects\the-wild-oasis-ts\src\hooks\useMoveBack.ts", "TypeScript", 0, 0, 0, 5, 0, 2, 7
"d:\react-projects\the-wild-oasis-ts\src\hooks\useSortableColumn.ts", "TypeScript", 0, 0, 0, 32, 4, 9, 45
"d:\react-projects\the-wild-oasis-ts\src\hooks\useSortableColumn.tsx", "TypeScript JSX", 0, 0, -32, 0, -4, -9, -45
"d:\react-projects\the-wild-oasis-ts\src\pages\Account.tsx", "TypeScript JSX", 0, 0, 20, 0, 0, 3, 23
"d:\react-projects\the-wild-oasis-ts\src\pages\Booking.tsx", "TypeScript JSX", 0, 0, 4, 0, 0, 2, 6
"d:\react-projects\the-wild-oasis-ts\src\pages\Bookings.tsx", "TypeScript JSX", 0, 0, 13, 0, 1, 1, 15
"d:\react-projects\the-wild-oasis-ts\src\pages\Checkin.tsx", "TypeScript JSX", 0, 0, 4, 0, 0, 2, 6
"d:\react-projects\the-wild-oasis-ts\src\pages\Login.tsx", "TypeScript JSX", 0, 0, 7, 0, 0, 1, 8
"d:\react-projects\the-wild-oasis-ts\src\pages\Users.tsx", "TypeScript JSX", 0, 0, 27, 0, 0, 3, 30
"d:\react-projects\the-wild-oasis-ts\src\services\apiAuth.ts", "TypeScript", 0, 0, 0, 106, 3, 28, 137
"d:\react-projects\the-wild-oasis-ts\src\services\apiBookings.ts", "TypeScript", 0, 0, 0, 52, 0, 11, 63
"d:\react-projects\the-wild-oasis-ts\src\services\supabase.ts", "TypeScript", 0, 0, 0, 3, 0, 2, 5
"d:\react-projects\the-wild-oasis-ts\src\ui\ClientPagination.tsx", "TypeScript JSX", 0, 0, 98, 0, 0, 5, 103
"d:\react-projects\the-wild-oasis-ts\src\ui\DarkModeToggle.tsx", "TypeScript JSX", 0, 0, 9, 0, 0, 2, 11
"d:\react-projects\the-wild-oasis-ts\src\ui\DataItem.tsx", "TypeScript JSX", 0, 0, 17, 0, 0, 3, 20
"d:\react-projects\the-wild-oasis-ts\src\ui\DataTablePagination.tsx", "TypeScript JSX", 0, 0, -135, 0, -2, -11, -148
"d:\react-projects\the-wild-oasis-ts\src\ui\DeleteConfirmationDialog.tsx", "TypeScript JSX", 0, 0, 2, 0, 0, 0, 2
"d:\react-projects\the-wild-oasis-ts\src\ui\FilterInput.tsx", "TypeScript JSX", 0, 0, 0, 0, -2, 0, -2
"d:\react-projects\the-wild-oasis-ts\src\ui\Flag.tsx", "TypeScript JSX", 0, 0, 5, 0, 0, 1, 6
"d:\react-projects\the-wild-oasis-ts\src\ui\Header.tsx", "TypeScript JSX", 0, 0, 5, 0, 0, 1, 6
"d:\react-projects\the-wild-oasis-ts\src\ui\HeaderMenu.tsx", "TypeScript JSX", 0, 0, 108, 0, 0, 4, 112
"d:\react-projects\the-wild-oasis-ts\src\ui\ProtectedRoute.tsx", "TypeScript JSX", 0, 0, 23, 0, 0, 5, 28
"d:\react-projects\the-wild-oasis-ts\src\ui\ServerPagination.tsx", "TypeScript JSX", 0, 0, 101, 0, 0, 8, 109
"Total", "-", 3, 1222, 1757, 807, 9, 384, 4182
